Year of reporting,*Stage-level CO2e available,Product name (and functional unit),Company,Country (where company is incorporated),Company's GICS Industry Group,Company's GICS Industry,*Company's sector,Product weight (kg),*Source for product weight,"Product's carbon footprint (PCF, kg CO2e)",*Carbon intensity,Protocol used for PCF,Relative change in PCF vs previous,Company-reported reason for change,*Change reason category,*%Upstream estimated from %Operations,*Upstream CO2e (fraction of total PCF),*Operations CO2e (fraction of total PCF),*Downstream CO2e (fraction of total PCF),*Transport CO2e (fraction of total PCF),*EndOfLife CO2e (fraction of total PCF)
2014,No,MX410DE - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",23.019813,Estimated from external data based on product description,1498.6,65.1,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MX511DE - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",25.4012,Estimated from external data based on product description,1678.97,66.1,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MX611DE - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",28.03201,Estimated from external data based on product description,2132.34,76.07,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MX710DE - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",57.1526,Estimated from external data based on product description,2923.11,51.15,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MX711DE - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",57.1526,Estimated from external data based on product description,3127.248,54.72,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MX810DFE - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",118.07009,Estimated from external data based on product description,2536.12,21.48,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MX811DFE - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",118.07009,Estimated from external data based on product description,2973.37,25.18,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MX812DFE - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",118.07009,Estimated from external data based on product description,3335.99,28.25,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,CX510DE - Color Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",32.6587,Estimated from external data based on product description,3128.864,95.8,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,CS310DN - Color Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",20.32094,Estimated from external data based on product description,1968.62,96.88,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,CS410DN - Color Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",20.50238,Estimated from external data based on product description,3143.478,153.32,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,CS510DE - Color Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",20.91061,Estimated from external data based on product description,3024.602,144.64,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,M5163 - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",23.700201,Estimated from external data based on product description,2597.12,109.58,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MS310DN - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",15.807694,Estimated from external data based on product description,1504.51,95.18,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,MS312DN - Mono Laser Printer,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,Computers & Peripherals,"Computer, IT & telecom",15.807694,Estimated from external data based on product description,1490.36,94.28,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,Mobile Batteries,LG Chem Ltd,South Korea,Materials,Chemicals,Chemicals,1000.0,As per company's submission to CDP,5846.0,5.85,GHGP,32.00%,"According to newly installed assembly lines in Nanjing plant in 2013, the GHG emissions rose due to the increased electricity consumptions. The trend on rising electricity consumption level has close connection to the increased GHG emissions per the unit. The ratio of sales to Acer during 2013 shows a small difference relative to the one in 2012, so we estimate that the change in this row may not take place for the revenue fluctuation.  On the other hand, in 2013, Ochang 1 plant in Korea begun to supply mobile batteries to Acer for the first time - Only Nanjing plant supplied batteries to Acer in 2012. Therefore, the energy efficiency difference between the two plants would affect the change.",Product carbon efficiency changed,N/a (product with insufficient stage-level data),,,,,
2015,No,Mobile Batteries,LG Chem Ltd,South Korea,Chemicals,Not used for 2015 reporting,Chemicals,1000.0,As per company's submission to CDP,10245.0,10.25,GHGP,75.24%,"1. New facilities' start-up operation is the primary cause of the change as they consumed energy, particularly electricity, without manufacturing.  2. The increase of the total GHG emissions from the plant is bigger than the increase of sales ratio by Acer. (132% of GHG emissions increased as the plant total emissions, comparing to 121% of sales ratio increased by Acer in 2014)",Product carbon efficiency changed,N/a (product with insufficient stage-level data),,,,,
2013,No,"LG Chems automotive batteries are sustaining the undisputed No.1 position in the world based on more than 10 years of R&D capability. LG Chem is equipped with solutions for all types of electrical cars (Hybrid EV, Plugged-in EV, Battery EV) based on strong product development capability and manufacturing competitiveness via mass production experience. This enables LG Chem to supply battery cell, pack and BMS (Battery Management System) to global carmakers such as GM, Ford, Renault, Hyundai-Kia and Volvo. LG Chem expects the increased revenue from its automotive battery business by being awarded next-generation projects from existing customers while strengthening strategic partnerships, and securing new customers. Additionally, LG Chem plans to launch new products to meet customer needs in new applications such as SLI and garden tools.",LG Chem Ltd,South Korea,Materials,Chemicals,Chemicals,1000.0,As per company's submission to CDP,3197.1,3.2,GHGP,0.16%,N/a,No specific reason reported,N/a (product with insufficient stage-level data),,,,,
2014,No,Automotive Batteries,LG Chem Ltd,South Korea,Materials,Chemicals,Chemicals,1000.0,As per company's submission to CDP,3113.0,3.11,GHGP,-2.63%,Intensive energy-saving projects conducted in Ochang 1 plant in 2013 would have positive impacts on GHG emission reductions per the unit.,Product carbon efficiency changed,N/a (product with insufficient stage-level data),,,,,
2015,No,Automotive Batteries,LG Chem Ltd,South Korea,Chemicals,Not used for 2015 reporting,Chemicals,1000.0,As per company's submission to CDP,6309.0,6.31,GHGP,102.68%,"CMI plant did not operate its facilities on a regular basis in 2014 for fluctuation of production plans, which attributed to having energy intensity worsened. Plenty of electricity and steam were used for facilities' start-up without production. Final products were produced and transported only from Ochang 1 plant in 2013 which has a relatively greater energy intensity. The total emissions from Ochang 1 and CMI plants in kg CO2e per unit in 2014 were worsened by adverse energy intensity of CMI plant.",Product carbon efficiency changed,N/a (product with insufficient stage-level data),,,,,
