*PCF-ID,Year of reporting,*Stage-level CO2e available,Product name (and functional unit),Product detail,Company,Country (where company is incorporated),Company's GICS Industry Group,Company's GICS Industry,*Company's sector,Product weight (kg),*Source for product weight,"Product's carbon footprint (PCF, kg CO2e)",*Carbon intensity,Protocol used for PCF,Relative change in PCF vs previous,Company-reported reason for change,*Change reason category,*%Upstream estimated from %Operations,*Upstream CO2e (fraction of total PCF),*Operations CO2e (fraction of total PCF),*Downstream CO2e (fraction of total PCF),*Transport CO2e (fraction of total PCF),*EndOfLife CO2e (fraction of total PCF),*Adjustments to raw data (if any)
1884-1-2015,2015,Yes,Bloomberg-Provided Flat Panel Unit,"Bloomberg's standard-issue ""flat panel unit"" configuration, which is currently two 23"" panels mounted on a metal stand. The functional unit has a lifespan of 4 years, so the emissions indicated [in this report] are the full emissions associated with that lifespan.",Bloomberg,USA,Media,Not used for 2015 reporting,"Computer, IT & telecom",14.6,Estimated from external data based on product description,1766,120.96,GHGP,-81.00%,"The 2011 flat panel LCA was performed on a non-Energy Star 19"" flat panel.  Since then, Bloomberg moved to an Energy Star 19"" panel, and then for 2014 to an even more efficient 23"" panel, meaning that most of the reduction comes from the ""Customer Usage"" phase of the life cycle.  Additionally, the ""Raw Material"" phase reduced emissions due to lighter LCD screens and cables, and a change in process has almost eliminated emissions from the ""Assembly"" phase.",Product carbon efficiency changed,No,19.53%,1.02%,79.46%,1.07%,(included in downstream but not reported separately),Streamlined product name/description for better readibility
1884-1-2016,2016,Yes,Bloomberg-Provided Flat Panel Unit,"Bloomberg's standard-issue ""flat panel unit"" configuration, which is currently two 23"" panels mounted on a metal stand. The functional unit has a lifespan of 4 years, so the emissions indicated [in this report] are the full emissions associated with that lifespan.",Bloomberg,USA,Media,Media,"Computer, IT & telecom",14.6,Estimated from external data based on product description,1766,120.96,GHGP,(not reported by company),N/a,N/a (no %change reported),No,19.53%,1.02%,79.46%,1.07%,(included in downstream but not reported separately),Streamlined product detail for better readibility
1884-2-2013,2013,Yes,"Bloomberg's standard keyboard which is optional hardware available for lease to all Bloomberg Terminal customers.  The functional unit has a lifespan of 3 years, so the emissions indicated [in this report] are the full emissions associated with that lifespan.","Bloomberg's standard keyboard which is optional hardware available for lease to all Bloomberg Terminal customers.  The functional unit has a lifespan of 3 years, so the emissions indicated to the right are the full emissions associated with that lifespan.",Bloomberg,USA,Media,Media,"Computer, IT & telecom",1.08,Estimated from external data based on product description,93.68,86.74,GHGP,(not reported by company),N/a,N/a (no %change reported),No,33.96%,11.12%,54.92%,1.32%,1.16%,Streamlined product name/description for better readibility
1884-2-2014,2014,Yes,Bloomberg-Provided Keyboard,"Bloomberg's standard keyboard which is optional hardware available for lease to all Bloomberg Terminal customers.  The functional unit has a lifespan of 3 years, so the emissions indicated [in this report] are the full emissions associated with that lifespan.",Bloomberg,USA,Media,Media,"Computer, IT & telecom",1.08,Estimated from external data based on product description,93.68,86.74,GHGP,(not reported by company),N/a,N/a (no %change reported),No,33.96%,11.12%,54.92%,1.32%,1.16%,Streamlined product name/description for better readibility
1884-2-2015,2015,Yes,Bloomberg-Provided Keyboard,"Bloomberg's standard keyboard which is optional hardware available for lease to all Bloomberg Terminal customers.  The functional unit has a lifespan of 5 years, so the emissions indicated [in this report] are the full emissions associated with that lifespan.",Bloomberg,USA,Media,Not used for 2015 reporting,"Computer, IT & telecom",1.08,Estimated from external data based on product description,40,37.04,GHGP,-57.00%,"Changes made to the keyboard since the 2011 LCA that have reduced emissions include: - Utilizing less, and less environmentally-impactful,  raw materials, lowering emissions in the ""Raw Material"", ""Assembly"" and ""Refurbishment"" segments. - Lower energy draw, reducing energy consumption at customer sites.",Product carbon efficiency changed,No,56.43%,4.31%,39.26%,3.26%,3.61%,Streamlined product name/description for better readibility
1884-2-2016,2016,Yes,Bloomberg-Provided Keyboard,"Bloomberg's standard keyboard which is optional hardware available for lease to all Bloomberg Terminal customers.  The functional unit has a lifespan of 5 years, so the emissions indicated [in this report] are the full emissions associated with that lifespan.",Bloomberg,USA,Media,Media,"Computer, IT & telecom",1.08,Estimated from external data based on product description,40,37.04,GHGP,(not reported by company),N/a,N/a (no %change reported),No,56.43%,4.31%,39.26%,3.26%,3.61%,Streamlined product detail for better readibility
1884-3-2013,2013,Yes,"Bloomberg's biometric device (B-Unit) distributed to all Bloomberg Terminal customers.  The functional unit has a lifespan of 3 years, so the emissions indicated [in this report] are the full emissions associated with that lifespan.","Bloomberg's biometric device (B-Unit) distributed to all Bloomberg Terminal customers.  The functional unit has a lifespan of 3 years, so the emissions indicated to the right are the full emissions associated with that lifespan.",Bloomberg,USA,Media,Media,"Computer, IT & telecom",0.029,Estimated from external data based on product description,2.18,75.17,GHGP,(not reported by company),N/a,N/a (no %change reported),No,84.33%,6.91%,8.76%,1.38%,4.15%,Streamlined product name/description for better readibility
1884-3-2014,2014,Yes,Bloomberg B-Unit,"Bloomberg's biometric device (B-Unit) distributed to all Bloomberg Terminal customers.  The functional unit has a lifespan of 3 years, so the emissions indicated [in this report] are the full emissions associated with that lifespan.",Bloomberg,USA,Media,Media,"Computer, IT & telecom",0.029,Estimated from external data based on product description,2.18,75.17,GHGP,(not reported by company),N/a,N/a (no %change reported),No,84.33%,6.91%,8.76%,1.38%,4.15%,Streamlined product name/description for better readibility
1884-3-2015,2015,Yes,Bloomberg B-Unit,"Bloomberg's biometric device (B-Unit) distributed to all Bloomberg Terminal customers.  The functional unit has a lifespan of 3 years, so the emissions indicated [in this report] are the full emissions associated with that lifespan.",Bloomberg,USA,Media,Not used for 2015 reporting,"Computer, IT & telecom",0.029,Estimated from external data based on product description,2,68.97,GHGP,-9.00%,"Changes made to the B-Unit since the 2011 LCA that have affected emissions include: - Utilizing less, and less environmentally-impactful,  raw materials, lowering emissions in the ""Raw Material"" and ""Assembly"" phases. - The ""Refurbishment"" segment now requires no component replacement, lowering emissions. - Created new packaging for the B-Unit that included a small plastic component, which increased emissions in ""Packaging"" and ""Distribution"". - Eliminated emissions from the ""Customer Use"" Phase.",Product carbon efficiency changed,No,78.39%,15.58%,6.03%,5.03%,1.01%,Streamlined product name/description for better readibility
1884-3-2016,2016,Yes,Bloomberg B-Unit,"Bloomberg's biometric device (B-Unit) distributed to all Bloomberg Terminal customers.  The functional unit has a lifespan of 3 years, so the emissions indicated [in this report] are the full emissions associated with that lifespan.",Bloomberg,USA,Media,Media,"Computer, IT & telecom",0.029,Estimated from external data based on product description,2,68.97,GHGP,(not reported by company),N/a,N/a (no %change reported),No,78.39%,15.58%,6.03%,5.03%,1.01%,Streamlined product detail for better readibility
19100-1-2013,2013,Yes,"TG582n Home Gateway to provide multiple play telecom data services (data, voice, TV) in the home.","TG582n Home Gateway to provide multiple play telecom data services (data, voice, TV) in the home.",Technicolor SA,France,Media,Media,"Computer, IT & telecom",0.599,Estimated from external data based on product description,111,185.31,ISO,(not reported by company),N/a,N/a (no previous data available),Yes,4.19%,1.60%,94.21%,0.97%,0.30%,"Changed GICS to ""Media"", consistent with Technicolor's 2014&2015 reporting"
19100-1-2014,2014,Yes,Home Gateway TG582n,"Home Gateway providing multiple play telecom data services (data, voice, TV) in the home",Technicolor SA,France,Media,Media,"Computer, IT & telecom",0.599,Estimated from external data based on product description,111,185.31,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,4.19%,1.60%,94.21%,0.97%,0.30%,None
19100-1-2015,2015,Yes,Home Gateway TG582n,"Home Gateway providing multiple play telecom data services (data, voice,TV) in the home",Technicolor SA,France,Media,Not used for 2015 reporting,"Computer, IT & telecom",0.599,Estimated from external data based on product description,111,185.31,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,4.19%,1.60%,94.21%,0.97%,0.30%,None
19238-3-2017,2017,Yes,GL film packages,GL films are the transparent barrier films for package. These films are used as a barrier layer in a laminated film instead of an aluminum foil. The laminated film is supplied by the roll.,"Toppan Printing Co., Ltd.",Japan,Commercial & Professional Services,Commercial Services & Supplies,"Home durables, textiles, & equipment",13.44,Estimated from external data based on product description,377.6,28.1,Japan CFP,-38.50%,"Emission factor change by used material change, and reduction in used raw materials. There are various roll sizes, so the size of roll is assumed width of 800mm and length of 1000m.",Product carbon efficiency changed,No,70.15%,27.65%,2.20%,2.20%,(included in downstream but not reported separately),None
19238-4-2017,2017,Yes,MR-PET film package,MR-PET film is a film consisted of mechanically recycled PET resin. This film is used as a layer in a laminated film. The laminated film is supplied by the roll.,"Toppan Printing Co., Ltd.",Japan,Commercial & Professional Services,Commercial Services & Supplies,"Home durables, textiles, & equipment",13.44,Estimated from external data based on product description,363,27.01,Japan CFP,-3.90%,"Emission factor change by used material change. There are various roll sizes, so the size of roll is assumed width of 800mm and length of 1000m.",Product carbon efficiency changed,No,68.94%,31.06%,0.00%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),None
19429-1-2016,2016,Yes,"Agricultural tires, BlueTire Yechnology","By analyzing the impact of the agricultural tire (LCA - Life Cycle Assessment methodology), Trelleborg is able to significantly reduce the lifetime carbon footprint on its tires, from the initial design phase through to their recycling. For the BlueTire Technology launched by Trelleborg, 1 kg of product generates CO2 equivalent emissions of around 3.8 kg. Trelleborg has measured a 6% reduction of the carbon footprint related to the working life of a Trelleborg BlueTire Technology compared to standard technology tires. Total emissions: 1408.62 kg CO2 (3.8 kg CO2 per unit * 370.69 kg, weight of 1329200 - 710/70R42TL TM1000HP - BlueTire)",Trelleborg AB,Sweden,Capital Goods,Electrical Equipment,Comm. equipm. & capital goods,370.69,As per company's submission to CDP,1408.62,3.8,ISO,(not reported by company),N/a,N/a (no %change reported),No,63.92%,32.99%,3.09%,3.09%,(included in downstream but not reported separately),None
20033-1-2013,2013,Yes,Polyethylene pipe,Field not included in 2013 data,Radius Systems,United Kingdom,Capital Goods,Building Products,Comm. equipm. & capital goods,1,As per company's submission to CDP,2.52,2.52,Not reported,(not reported by company),N/a,N/a (no %change reported),No,91.39%,7.94%,0.67%,0.99%,(included in downstream but not reported separately),None
20309-1-2013,2013,Yes,VW Polo V 1.6 TDI BlueMotion Technology,Field not included in 2013 data,Volkswagen AG,Germany,Automobiles & Components,Automobiles,Automobiles & components,993,Estimated from external data based on product description,21725,21.88,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,18.63%,5.75%,75.62%,(included in up/downstream but not reported separately),0.53%,None
20309-1-2014,2014,No,VW Polo,vehicle representing models the small segment (Polo 1.6 TDI [66 kW] BlueMotion Technology),Volkswagen AG,Germany,Automobiles & Components,Automobiles,Automobiles & components,993,Estimated from external data based on product description,21725,21.88,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-1-2015,2015,No,Volkswagen Polo,"vehicle representing models of the small segment (Polo 1.6 TDI, 66kW, BlueMotion Technologies)",Volkswagen AG,Germany,Automobiles & Components,Not used for 2015 reporting,Automobiles & components,993,Estimated from external data based on product description,21725,21.88,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-1-2016,2016,No,Volkswagen Polo,"vehicle representing models of the small segment (Polo 1.6 TDI, 66kW, BlueMotion Technologies)",Volkswagen AG,Germany,Automobiles & Components,Auto Components,Automobiles & components,993,Estimated from external data based on product description,21725,21.88,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-2-2013,2013,Yes,VW Golf VII 1.6 TDI BlueMotion Technology,Field not included in 2013 data,Volkswagen AG,Germany,Automobiles & Components,Automobiles,Automobiles & components,1358.056,Estimated from external data based on product description,22218,16.36,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,19.52%,6.02%,74.46%,(included in up/downstream but not reported separately),0.52%,None
20309-2-2014,2014,No,VW Golf,vehicle representing models in the compact segment (Golf 1.6 TDI [77kW] BlueMotion Technology),Volkswagen AG,Germany,Automobiles & Components,Automobiles,Automobiles & components,1394.343,Estimated from external data based on product description,22218,15.93,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-2-2015,2015,No,Volkswagen Golf,"vehicle representing models of the compact segment (Golf 1.6 TDI, 77 kW, BlueMotion Technologies)",Volkswagen AG,Germany,Automobiles & Components,Not used for 2015 reporting,Automobiles & components,1394.343,Estimated from external data based on product description,22218,15.93,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-2-2016,2016,No,Volkswagen Golf,"vehicle representing models of the compact segment (Golf 1.6 TDI, 77 kW, BlueMotion Technologies)",Volkswagen AG,Germany,Automobiles & Components,Auto Components,Automobiles & components,1358.056,Estimated from external data based on product description,22218,16.36,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-3-2013,2013,Yes,Passat B7 2.0 TDI BlueMotion Technology,Field not included in 2013 data,Volkswagen AG,Germany,Automobiles & Components,Automobiles,Automobiles & components,1539.039,Estimated from external data based on product description,28011,18.2,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,20.54%,6.33%,73.12%,(included in up/downstream but not reported separately),0.37%,None
20309-3-2014,2014,No,VW Passat,vehicle representing models in the midsize segment (Passat 2.0 TDI [103 kW] BlueMotion Technology),Volkswagen AG,Germany,Automobiles & Components,Automobiles,Automobiles & components,1539.039,Estimated from external data based on product description,28011,18.2,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-3-2015,2015,No,Volkswagen Passat,"vehicle representing models of the midsize segment (Passat 2.0 TDI, 103 kW, BlueMotion Technologies)",Volkswagen AG,Germany,Automobiles & Components,Not used for 2015 reporting,Automobiles & components,1539.039,Estimated from external data based on product description,28011,18.2,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-3-2016,2016,No,Volkswagen Passat,"vehicle representing models of the midsize segment (Passat 2.0 TDI, 103 kW, BlueMotion Technologies)",Volkswagen AG,Germany,Automobiles & Components,Auto Components,Automobiles & components,1539.039,Estimated from external data based on product description,28011,18.2,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-4-2013,2013,Yes,Audi A3 2.0 TDI,Field not included in 2013 data,Volkswagen AG,Germany,Automobiles & Components,Automobiles,Automobiles & components,1460.114,Estimated from external data based on product description,30647,20.99,ISO,(not reported by company),N/a,N/a (no %change reported),Yes,15.68%,4.84%,79.48%,(included in up/downstream but not reported separately),0.43%,None
20309-5-2014,2014,No,Mean value for a vehicle within the Volkswagen Group according to CDP Report 2013 (global scope),BLANK,Volkswagen AG,Germany,Automobiles & Components,Automobiles,Automobiles & components,1539.039,Estimated from external data based on product description,34694,22.54,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Used SM3.2a name of good/service from SM3.2b; Total emissions set to sum of LCA stage emissions
20309-5-2015,2015,No,Mean value for a vehicle within the Volkswagen Group according to CDP Report 2014 (global scope),BLANK,Volkswagen AG,Germany,Automobiles & Components,Not used for 2015 reporting,Automobiles & components,1539.039,Estimated from external data based on product description,33683,21.89,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),Used SM3.2a name of good/service from SM3.2b; Total emissions set to sum of LCA stage emissions
20309-6-2014,2014,No,VW up!,vehicle representing models the very small segment (up! 1.0 MPI [44kW] BlueMotion Technology),Volkswagen AG,Germany,Automobiles & Components,Automobiles,Automobiles & components,929.8644,Estimated from external data based on product description,21488,23.11,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-6-2015,2015,No,Volkswagen up!,"vehicle representing models of the very small segment (up! 1.0 MPI, 44 kW, BlueMotion Technologies)",Volkswagen AG,Germany,Automobiles & Components,Not used for 2015 reporting,Automobiles & components,929.8644,Estimated from external data based on product description,21488,23.11,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-6-2016,2016,No,Volkswagen up!,Vehicle representing models of the very small segment (up! 1.0 MPI /44KW BlueMotion Technologies),Volkswagen AG,Germany,Automobiles & Components,Auto Components,Automobiles & components,929.8644,Estimated from external data based on product description,21488,23.11,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-7-2014,2014,No,Audi A6,vehicle representing models in the fullsize segment (A6 3.0 TDI [180 kW]),Volkswagen AG,Germany,Automobiles & Components,Automobiles,Automobiles & components,1895.109,Estimated from external data based on product description,37094,19.57,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-7-2015,2015,No,Audi A6,"vehicle representing models of the fullsize segment (A6, 3.0 TDI, 180 kW)",Volkswagen AG,Germany,Automobiles & Components,Not used for 2015 reporting,Automobiles & components,1895.109,Estimated from external data based on product description,37094,19.57,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-7-2016,2016,No,Audi A6,"vehicle representing models of the fullsize segment (A6, 3.0 TDI, 180 kW)",Volkswagen AG,Germany,Automobiles & Components,Auto Components,Automobiles & components,1895.109,Estimated from external data based on product description,37094,19.57,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-8-2014,2014,No,VW Caddy,vehicle representing models in the commercial vehicle segment (Caddy 1.6 TDI [75 kW] BlueMotion Technology),Volkswagen AG,Germany,Automobiles & Components,Automobiles,Automobiles & components,1128,Estimated from external data based on product description,28608,25.36,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-8-2015,2015,No,Volkswagen Caddy,"vehicle representing models of the commercial vehicle segment (Caddy 1.6 TDI, 75 kW, BlueMOtion Technologies)",Volkswagen AG,Germany,Automobiles & Components,Not used for 2015 reporting,Automobiles & components,1128,Estimated from external data based on product description,28608,25.36,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-8-2016,2016,No,Volkswagen Caddy,"vehicle representing models of the commercial vehicle segment (Caddy 1.6 TDI, 75 kW, BlueMotion Technologies)",Volkswagen AG,Germany,Automobiles & Components,Auto Components,Automobiles & components,1128,Estimated from external data based on product description,28608,25.36,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20309-9-2016,2016,No,Volkswagen e-up,electrified vehicle of the very small segment (calculation is based on using BluePower (clean electricity); 0 g/km CO2 driving emissions by electric mobiliy),Volkswagen AG,Germany,Automobiles & Components,Auto Components,Automobiles & components,1185,Estimated from external data based on product description,7550,6.37,ISO,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
20523-1-2013,2013,Yes,Alliance HPLC (High Peformance Liquid Chromatography)  The Alliance is an HPLC that is unique in that it has a single set of electronic boards that control the functions for both the solvent delivery system and the autosampler in the liquid chromatograph.,Alliance HPLC (High Peformance Liquid Chromatography)  The Alliance is an HPLC that is unique in that it has a single set of electronic boards that control the functions for both the solvent delivery system and the autosampler in the liquid chromatograph.,Waters Corporation,USA,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Comm. equipm. & capital goods,59,Estimated from external data based on product description,15196.6,257.57,GHGP,(not reported by company),N/a,N/a (no previous data available),Yes,2.95%,0.64%,96.41%,5.81%,63.71%,None
20523-1-2014,2014,Yes,Alliance (HPLC),Separation technique low efficiency.,Waters Corporation,USA,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Comm. equipm. & capital goods,59,Estimated from external data based on product description,40215,681.61,GHGP,(not reported by company),N/a,N/a (no previous data available),Yes,1.41%,0.30%,98.28%,2.78%,16.65%,None
20523-2-2013,2013,Yes,"ACQUITY® UPLC, ACQUITY® I-Class, ACQUITY® H-Class",Field not included in 2013 data,Waters Corporation,USA,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Comm. equipm. & capital goods,25.9,Estimated from external data based on product description,17074.4,659.24,GHGP,(not reported by company),N/a,N/a (no previous data available),Yes,4.07%,0.88%,95.05%,5.86%,65.17%,None
20527-1-2013,2013,Yes,Electric Motor,Electric Motor with highest class efficiency and motors with class efficiency superior to the regulation,Weg S/A,Brazil,Capital Goods,Machinery,Comm. equipm. & capital goods,90,Estimated from external data based on product description,53057.5,589.53,ISO,57.00%,"This change from previous figure supplied is due to the increase in the emission factor (from 0.1056 ton CO2e / MWh  in 2011 to 0,3593 ton CO2e / MWh in 2012). If we consider the same 2011 emission factor for 2012, the change would be a reduction of  46% in the total emissions (-46%).    Internal actions for energy efficiency and maintenance actions in energy management  in the factory where ISO 50001 was implemented were extremely important in order to achieve the energy reduction. In addition there was an increase in sales of Electric Motor with highest efficiency class, contributing to this fact.",Model/parameters AND product carbon efficiency changed,Yes,0.01%,0.00%,99.99%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),Streamlined product name/description to be the same across stages and years
20527-1-2014,2014,Yes,Electric Motor,Electric Motor with highest class efficiency and motors with class efficiency superior to the regulation,Weg S/A,Brazil,Capital Goods,Machinery,Comm. equipm. & capital goods,90,Estimated from external data based on product description,87589.36467,973.22,GHGP,(not reported by company),N/a,N/a (no %change reported),Yes,0.02%,0.00%,99.98%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),Streamlined product name/description to be the same across stages and years; removed footprint %change because value inconsistent with explanation
20527-1-2015,2015,Yes,Electric Motor,Electric Motor with highest class efficiency and motors with class efficiency superior to the regulation,Weg S/A,Brazil,Electrical Equipment and Machinery,Not used for 2015 reporting,Comm. equipm. & capital goods,90,Estimated from external data based on product description,20007.62,222.31,GHGP,-77.00%,"WEG develops and supplies many products and services that have a direct impact upon our client’s scope 2 GHG emissions and help them in their emission reduction efforts. In the 90s, ten years before the making of laws for energy efficiency in the country, the company already offered high performance motors to the national market for. The solution efficient motors + frequency inverters (also manufactured by WEG) today allows larger efficiency levels to customers than those proposed by the current legislation. These products and services include, for example:",Product carbon efficiency changed,Yes,0.10%,0.02%,99.88%,(included in up/downstream but not reported separately),(included in downstream but not reported separately),Streamlined product name/description to be the same across stages and years
20822-1-2013,2013,Yes,Phaser 6600,Field not included in 2013 data,Xerox Corporation,USA,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",25.5,Estimated from external data based on product description,584,22.9,ISO,(not reported by company),N/a,N/a (no %change reported),No,3.60%,67.29%,29.11%,(included in up/downstream but not reported separately),2.23%,None
20822-1-2014,2014,Yes,Phaser 6600,Printing device,Xerox Corporation,USA,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",25.5,Estimated from external data based on product description,584,22.9,ISO,(not reported by company),N/a,N/a (no %change reported),No,3.60%,67.29%,29.11%,(included in up/downstream but not reported separately),2.23%,"Field ""Methods"" updated to ISO, as per company's other disclosures"
20822-1-2015,2015,Yes,Phaser 6600,Printing device,Xerox Corporation,USA,Software & Services,Not used for 2015 reporting,"Computer, IT & telecom",25.5,Estimated from external data based on product description,584,22.9,ISO,(not reported by company),N/a,N/a (no %change reported),No,3.60%,67.29%,29.11%,(included in up/downstream but not reported separately),2.23%,None
20822-1-2016,2016,Yes,Phaser 6600,Printing device,Xerox Corporation,USA,Software & Services,Software,"Computer, IT & telecom",25.5,Estimated from external data based on product description,584,22.9,ISO,(not reported by company),N/a,N/a (no %change reported),No,3.60%,67.29%,29.11%,(included in up/downstream but not reported separately),2.23%,None
20822-2-2013,2013,Yes,ColorQube 8900,Field not included in 2013 data,Xerox Corporation,USA,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",46.308,Estimated from external data based on product description,2445,52.8,ISO,(not reported by company),N/a,N/a (no %change reported),No,1.60%,27.72%,70.69%,13.58%,0.00%,None
20822-2-2014,2014,Yes,ColorQube 8900,Printing device,Xerox Corporation,USA,Technology Hardware & Equipment,Office Electronics,"Computer, IT & telecom",46.308,Estimated from external data based on product description,2445,52.8,ISO,(not reported by company),N/a,N/a (no %change reported),No,1.60%,27.72%,70.69%,13.58%,(included in downstream but not reported separately),"Field ""Methods"" updated to ISO, as per company's other disclosures"
20822-2-2015,2015,Yes,ColorQube 8900,Printing device,Xerox Corporation,USA,Software & Services,Not used for 2015 reporting,"Computer, IT & telecom",46.308,Estimated from external data based on product description,2445,52.8,ISO,(not reported by company),N/a,N/a (no %change reported),No,1.60%,27.72%,70.69%,13.58%,(included in downstream but not reported separately),None
