Year,Stage_Level_CO2e_Available,Country,Industry,Sector,Product_Weight,PCF_Protocol,PCF
2013,Yes,Canada,Wireless Telecommunication Services,"Computer, IT & telecom",0.13,ISO,52.2
2014,Yes,Canada,Communications Equipment,"Computer, IT & telecom",0.1375,ISO,57.1
2015,Yes,Canada,Not used for 2015 reporting,"Computer, IT & telecom",0.205,ISO,65.1
2016,Yes,Canada,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.205,ISO,65.1
2016,Yes,Canada,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.178,ISO,62.8
2016,Yes,Canada,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",0.192,ISO,79.9
2017,Yes,Japan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",33.0,ISO,1640.0
2013,No,Japan,Office Electronics,"Computer, IT & telecom",214.0,ISO,2400.0
2013,No,Japan,Office Electronics,"Computer, IT & telecom",130.0,Not reported,2100.0
2013,No,Japan,Office Electronics,"Computer, IT & telecom",73.0,Not reported,1297.0
2013,No,Japan,Office Electronics,"Computer, IT & telecom",97.0,Not reported,3210.0
2013,No,Japan,Office Electronics,"Computer, IT & telecom",550.0,Not reported,7368.0
2014,No,Japan,Office Electronics,"Computer, IT & telecom",99.9,ISO,1940.0
2014,No,Japan,Office Electronics,"Computer, IT & telecom",241.0,Not reported,6140.0
2015,No,Japan,Not used for 2015 reporting,"Computer, IT & telecom",74.0,ISO,1330.0
2015,No,Japan,Not used for 2015 reporting,"Computer, IT & telecom",600.0,Not reported,8080.0
2013,No,South Africa,Paper & Forest Products,Construction & commercial materials,1000.0,Not reported,968.0
2014,Yes,South Africa,Paper & Forest Products,Construction & commercial materials,1000.0,Not reported,1031.6
2013,No,South Africa,Paper & Forest Products,Construction & commercial materials,1000.0,Not reported,949.0
2014,Yes,South Africa,Paper & Forest Products,Construction & commercial materials,1000.0,Not reported,1042.8
2013,No,South Africa,Paper & Forest Products,Construction & commercial materials,1000.0,Not reported,1033.0
2014,Yes,South Africa,Paper & Forest Products,Construction & commercial materials,1000.0,Not reported,1060.9
2013,No,South Africa,Paper & Forest Products,Construction & commercial materials,1000.0,Not reported,973.0
2014,Yes,South Africa,Paper & Forest Products,Construction & commercial materials,1000.0,Not reported,1082.6
2013,Yes,France,Electrical Equipment,Comm. equipm. & capital goods,0.21,ISO,19.1
2014,Yes,France,Electrical Equipment,Comm. equipm. & capital goods,0.21,ISO,19.1
2015,Yes,France,Not used for 2015 reporting,Comm. equipm. & capital goods,0.21,ISO,19.1
2016,Yes,France,Electrical Equipment,Comm. equipm. & capital goods,0.21,ISO,61.23
2013,Yes,Ireland,Containers & Packaging,Packaging for consumer goods,1000.0,FEFCO,746.0
2014,Yes,Ireland,Containers & Packaging,Packaging for consumer goods,1000.0,PAS2050,746.0
2015,Yes,Ireland,Not used for 2015 reporting,Packaging for consumer goods,1000.0,PAS2050,746.0
2013,Yes,Ireland,Containers & Packaging,Packaging for consumer goods,1000.0,PAS2050,964.0
2014,Yes,Ireland,Containers & Packaging,Packaging for consumer goods,1000.0,PAS2050,964.0
2015,Yes,Ireland,Not used for 2015 reporting,Packaging for consumer goods,1000.0,PAS2050,964.0
2014,Yes,Belgium,Chemicals,Chemicals,1.0,GHGP,1.32
2014,Yes,Belgium,Chemicals,Chemicals,1.0,GHGP,1.1
2015,Yes,Belgium,Not used for 2015 reporting,Chemicals,1.0,GHGP,1.01
2016,No,Belgium,Chemicals,Chemicals,1.0,ISO,1.01
2015,Yes,Belgium,Not used for 2015 reporting,Chemicals,1.0,GHGP,1.29
2016,No,Belgium,Chemicals,Chemicals,1.0,ISO,1.29
2015,Yes,Belgium,Not used for 2015 reporting,Chemicals,1.0,GHGP,1.19
2016,No,Belgium,Chemicals,Chemicals,1.0,ISO,1.19
2014,Yes,USA,Specialty Retail,"Home durables, textiles, & equipment",0.8172,ISO,2.526
2015,Yes,USA,Not used for 2015 reporting,"Home durables, textiles, & equipment",0.8172,ISO,2.526
2014,Yes,USA,Specialty Retail,"Home durables, textiles, & equipment",0.8172,ISO,8.38
2015,Yes,USA,Not used for 2015 reporting,"Home durables, textiles, & equipment",0.8172,ISO,8.38
2015,No,USA,Not used for 2015 reporting,Comm. equipm. & capital goods,1.82,Not reported,55.67
2016,No,USA,Electrical Equipment,Comm. equipm. & capital goods,1.82,Not reported,55.67
2015,No,USA,Not used for 2015 reporting,Comm. equipm. & capital goods,2.7,Not reported,88.13
2016,No,USA,Electrical Equipment,Comm. equipm. & capital goods,2.7,Not reported,88.13
2016,Yes,USA,Electrical Equipment,Comm. equipm. & capital goods,0.5,Traci 2.1,2.15
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",13.05,ISO,23.0
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",51.7,ISO,150.0
2013,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",19.773,ILCD Handbook,120.0
2014,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",19.773,ILCD Handbook,120.0
